seed,kl,M,method,num_samples
28,0.01662611195029129,10,F1F2,100000
30,0.017331571674898072,10,F1F2,100000
32,0.017444984330118984,10,F1F2,100000
34,0.01810156638313032,10,F1F2,100000
36,0.017336235316165016,10,F1F2,100000
38,0.01812094627481997,10,F1F2,100000
40,0.019024164698265622,10,F1F2,100000
2,0.007118293519067009,20,F1F2,100000
4,0.007352616637156473,20,F1F2,100000
6,0.007258271442786679,20,F1F2,100000
8,0.007242709509601042,20,F1F2,100000
10,0.007038407428098026,20,F1F2,100000
12,0.0070546980755494815,20,F1F2,100000
14,0.007080800883006333,20,F1F2,100000
16,0.007432357158936753,20,F1F2,100000
18,0.0077496746847067755,20,F1F2,100000
20,0.00718909055498429,20,F1F2,100000
22,0.006936756982700132,20,F1F2,100000
24,0.006718265431707948,20,F1F2,100000
26,0.00743725381134297,20,F1F2,100000
28,0.00721116344087136,20,F1F2,100000
30,0.0069619855513956,20,F1F2,100000
32,0.006884216038866242,20,F1F2,100000
34,0.0069616075734550975,20,F1F2,100000
36,0.007136178641435009,20,F1F2,100000
38,0.0072568052995265475,20,F1F2,100000
40,0.006998601691165618,20,F1F2,100000
2,0.007522261166638344,30,F1F2,100000
4,0.007665852597320111,30,F1F2,100000
6,0.0078690881533241,30,F1F2,100000
8,0.007115651655436039,30,F1F2,100000
10,0.006560936781571769,30,F1F2,100000
12,0.007213709027364956,30,F1F2,100000
14,0.006951375588950981,30,F1F2,100000
16,0.006431058687564217,30,F1F2,100000
18,0.007151305033126221,30,F1F2,100000
20,0.006328494708618848,30,F1F2,100000
22,0.0071838179441066075,30,F1F2,100000
24,0.0070022465435002346,30,F1F2,100000
26,0.006572359742097689,30,F1F2,100000
28,0.007117427969689061,30,F1F2,100000
30,0.006647063572124523,30,F1F2,100000
32,0.007253040744060968,30,F1F2,100000
34,0.007071238294066973,30,F1F2,100000
36,0.007303509590478541,30,F1F2,100000
38,0.007649511432674672,30,F1F2,100000
40,0.007747512168990056,30,F1F2,100000
2,0.0024324346923663143,50,F1F2,100000
4,0.0013568724955845823,50,F1F2,100000
6,0.0018066470872994955,50,F1F2,100000
8,0.0024681023258672496,50,F1F2,100000
10,0.0022814493019467363,50,F1F2,100000
12,0.001968352835316267,50,F1F2,100000
14,0.002228919423661324,50,F1F2,100000
16,0.0022862096354607786,50,F1F2,100000
18,0.002015824774474595,50,F1F2,100000
20,0.0021026033431397195,50,F1F2,100000
22,0.0020139659705584734,50,F1F2,100000
24,0.0016313716500704345,50,F1F2,100000
26,0.0022637967789478353,50,F1F2,100000
28,0.0028859641434628713,50,F1F2,100000
30,0.002092401333243288,50,F1F2,100000
32,0.002713320911446715,50,F1F2,100000
34,0.001688602625630864,50,F1F2,100000
36,0.0019392901571002596,50,F1F2,100000
38,0.002656690841803311,50,F1F2,100000
40,0.002009853629367342,50,F1F2,100000
2,8.022868846921938e-4,60,F1F2,100000
4,0.0012852476739801943,60,F1F2,100000
6,0.0012008725244214702,60,F1F2,100000
8,0.0014004441007955393,60,F1F2,100000
10,0.001220921217935711,60,F1F2,100000
12,0.0012305756418555802,60,F1F2,100000
14,0.001208428566123132,60,F1F2,100000
16,0.001172178193691309,60,F1F2,100000
18,0.001365905570349213,60,F1F2,100000
20,0.0010031104202674612,60,F1F2,100000
22,0.0011047309135960859,60,F1F2,100000
24,0.0012598993692840565,60,F1F2,100000
26,0.0013375135408111305,60,F1F2,100000
28,0.001368673722755176,60,F1F2,100000
30,0.00130393064513612,60,F1F2,100000
32,0.0013445720315026222,60,F1F2,100000
34,0.0011866128819768562,60,F1F2,100000
36,0.0011214710903644232,60,F1F2,100000
38,0.0014704761273414135,60,F1F2,100000
40,9.13490784974158e-4,60,F1F2,100000
2,0.003998299023884044,100,F1F2,100000
4,0.00258237372904091,100,F1F2,100000
6,0.00479510052289811,100,F1F2,100000
8,0.004090847629864669,100,F1F2,100000
10,0.0038345800475525493,100,F1F2,100000
12,0.0044514683152883094,100,F1F2,100000
