seed,kl,M,method,num_samples
34,0.0062338057871969,30,SigmoidF2,100000
36,0.005785415433056329,30,SigmoidF2,100000
38,0.005811354684365,30,SigmoidF2,100000
40,0.006528422267411571,30,SigmoidF2,100000
2,0.002793928336210172,50,SigmoidF2,100000
4,0.0026968788390995257,50,SigmoidF2,100000
6,0.0025175214191506257,50,SigmoidF2,100000
8,0.0026377276326421395,50,SigmoidF2,100000
10,0.0025838457970408513,50,SigmoidF2,100000
12,0.0029263059467190544,50,SigmoidF2,100000
14,0.002665136075020058,50,SigmoidF2,100000
16,0.002576369655916011,50,SigmoidF2,100000
18,0.0025059582250754886,50,SigmoidF2,100000
20,0.002306753134877937,50,SigmoidF2,100000
22,0.0024759139221899318,50,SigmoidF2,100000
24,0.0023667081751668206,50,SigmoidF2,100000
26,0.0029019020945781904,50,SigmoidF2,100000
28,0.002311858168855707,50,SigmoidF2,100000
30,0.002244586498989065,50,SigmoidF2,100000
32,0.0028125697732015453,50,SigmoidF2,100000
34,0.0023753634198264706,50,SigmoidF2,100000
36,0.0028694785806280265,50,SigmoidF2,100000
38,0.002822943522893695,50,SigmoidF2,100000
40,0.002715996785568109,50,SigmoidF2,100000
2,0.0018788473557194152,60,SigmoidF2,100000
4,0.0017690371268699323,60,SigmoidF2,100000
6,0.0018249904576599363,60,SigmoidF2,100000
8,0.0017120282744720328,60,SigmoidF2,100000
10,0.0018531262814533989,60,SigmoidF2,100000
12,0.0017661286449879299,60,SigmoidF2,100000
14,0.001839960025886711,60,SigmoidF2,100000
16,0.001955390644827304,60,SigmoidF2,100000
18,0.0014959720450704594,60,SigmoidF2,100000
20,0.0017555584596209428,60,SigmoidF2,100000
22,0.0017096111233030342,60,SigmoidF2,100000
24,0.0019551125000809577,60,SigmoidF2,100000
26,0.0020044280117730295,60,SigmoidF2,100000
28,0.0018533900882431453,60,SigmoidF2,100000
30,0.001652242276634297,60,SigmoidF2,100000
32,0.0018108570634005616,60,SigmoidF2,100000
34,0.001660303705978805,60,SigmoidF2,100000
36,0.001754821555799424,60,SigmoidF2,100000
38,0.001515833914488951,60,SigmoidF2,100000
40,0.0019390934474046162,60,SigmoidF2,100000
2,0.002023806717318166,100,SigmoidF2,100000
4,0.0017898013833850257,100,SigmoidF2,100000
6,0.001919305896414869,100,SigmoidF2,100000
8,0.0018135265784344767,100,SigmoidF2,100000
10,0.0021317942786041044,100,SigmoidF2,100000
12,0.0015678443169697687,100,SigmoidF2,100000
